product_id,name,category,current_price,cost,competitor_prices,competitor_names,sales_rank,rating,review_count,last_updated
PROD-001,boAt Rockerz 450 Wireless Bluetooth Headphones,Electronics,1662.92,1000.53,"1656.73,1811.04,1640.7,1442.09,1824.82","CompC,CompF,CompA,CompG,CompB",654,4.9,55,2026-03-08T14:31:26.347832Z
PROD-002,Noise ColorFit Pro 3 Smart Watch,Electronics,1310.74,831.26,"1123.73,1167.78,1275.51,1236.62,1128.58,1424.87,1448.4","CompE,CompG,CompB,CompD,CompF,CompC,CompA",3391,4.6,407,2026-03-08T14:31:26.348420Z
PROD-003,JBL Go 2 Portable Bluetooth Speaker,Electronics,1957.16,1249.37,"2176.63,1977.61,1924.17,2044.38","CompG,CompC,CompB,CompE",5849,4.1,861,2026-03-08T14:31:26.348442Z
PROD-004,Portronics Konnect L 1.2M USB-C Cable,Electronics,1165.53,706.08,"1198.35,1254.39,1168.17,1037.44,1273.77,1165.55","CompD,CompE,CompF,CompB,CompA,CompC",1281,3.7,803,2026-03-08T14:31:26.348465Z
PROD-005,Portronics My Buddy Plus Adjustable Laptop Stand,Electronics,699.73,407.46,"773.06,724.82,637.13,798.5","CompA,CompE,CompD,CompF",9327,4.6,454,2026-03-08T14:31:26.348479Z
PROD-006,Logitech M235 Wireless Mouse,Electronics,2160.08,1234.36,"2020.2,1952.13,2434.83,1921.77,2244.51","CompD,CompE,CompC,CompB,CompA",8798,4.0,389,2026-03-08T14:31:26.348494Z
PROD-007,Zebronics Zeb-K25 Wired USB Keyboard,Electronics,2629.68,1508.91,"2988.82,2343.99,2668.94,2867.75,2444.41","CompC,CompG,CompA,CompE,CompF",4146,3.8,787,2026-03-08T14:31:26.348508Z
PROD-008,Logitech C270 HD Webcam 720p,Electronics,1299.93,744.81,"1252.48,1164.71,1339.68,1313.16,1169.22","CompF,CompC,CompE,CompB,CompG",3081,4.7,269,2026-03-08T14:31:26.348527Z
PROD-009,Spigen Rugged Armor Back Cover for iPhone,Electronics,2034.94,1142.4,"1829.82,1782.41,2073.15,1911.93,1804.84,1909.92,1756.2","CompE,CompF,CompA,CompG,CompD,CompB,CompC",5945,4.0,238,2026-03-08T14:31:26.348546Z
PROD-010,Mi 20000mAh Power Bank 3i Fast Charging,Electronics,1760.21,1135.95,"1953.82,1897.35,1795.19","CompG,CompB,CompF",9971,3.7,408,2026-03-08T14:31:26.348559Z
PROD-011,Prestige PCMH 3.0 Electric Coffee Maker 4 Cups,Home & Kitchen,332.0,191.75,"306.24,352.53,362.87,316.04","CompA,CompC,CompB,CompD",7819,4.8,492,2026-03-08T14:31:26.348574Z
PROD-012,Philips HL7756/00 Mixer Grinder 750W 3 Jars,Home & Kitchen,1882.57,1062.46,"1770.76,1803.39,1807.28,1656.78","CompE,CompF,CompG,CompD",6012,4.9,268,2026-03-08T14:31:26.348589Z
PROD-013,Inalsa Air Fryer Fry-Light 1400W 4.2L,Home & Kitchen,2530.27,1427.3,"2786.24,2353.98,2768.32,2753.85,2691.91","CompB,CompC,CompA,CompG,CompD",1696,4.9,292,2026-03-08T14:31:26.348603Z
PROD-014,Eureka Forbes Vacuum Cleaner 1400W,Home & Kitchen,997.06,615.37,"946.53,1064.69,957.04","CompA,CompB,CompC",559,4.6,551,2026-03-08T14:31:26.348614Z
PROD-015,Stainless Steel 2-Tier Dish Drainer Rack,Home & Kitchen,1208.66,702.09,"1230.89,1338.15,1333.71,1029.32,1111.88,1130.06","CompD,CompA,CompF,CompG,CompE,CompB",645,3.6,424,2026-03-08T14:31:26.348628Z
PROD-016,HealthSense Chef-Mate KS 33 Digital Kitchen Scale 5kg,Home & Kitchen,2318.72,1336.42,"2163.29,2010.54,2662.83,2579.49,2087.53,2271.21,1982.17","CompF,CompE,CompC,CompD,CompB,CompG,CompA",1485,4.4,701,2026-03-08T14:31:26.348644Z
PROD-017,Wooden Bamboo Cutting Board Large 15x10 inch,Home & Kitchen,3113.0,1839.17,"3093.79,3254.02,2700.13,3350.27","CompA,CompE,CompF,CompD",5099,3.7,982,2026-03-08T14:31:26.348655Z
PROD-018,Borosil Mixing Bowl Set of 3 with Lids,Home & Kitchen,893.62,494.47,"971.33,907.11,917.18,980.55,975.31,812.79,814.01","CompC,CompF,CompE,CompD,CompA,CompB,CompG",389,3.8,913,2026-03-08T14:31:26.348671Z
PROD-019,Milton Vitro Airtight Storage Container Set 6pc,Home & Kitchen,264.23,161.17,"279.15,291.31,238.71,253.49","CompA,CompC,CompE,CompB",4431,4.6,520,2026-03-08T14:31:26.348683Z
PROD-020,Vim Dishwash Liquid Gel Lemon 2L Refill Pack,Home & Kitchen,941.31,591.18,"893.65,810.57,919.1,847.1,861.33,868.71","CompG,CompA,CompD,CompB,CompF,CompE",7493,3.5,483,2026-03-08T14:31:26.348697Z
PROD-021,Strauss Yoga Mat 6mm Anti-Skid with Bag,Sports,1368.93,823.8,"1453.55,1226.18,1508.9,1180.4,1199.77","CompB,CompC,CompD,CompG,CompA",7504,3.9,47,2026-03-08T14:31:26.348711Z
PROD-022,Boldfit Resistance Bands Set of 5 with Handles,Sports,605.05,378.79,"524.09,671.46,694.85,671.05,592.27,558.84,695.03","CompE,CompG,CompB,CompF,CompC,CompA,CompD",4210,4.5,935,2026-03-08T14:31:26.348726Z
PROD-023,Kore PVC-DM Combo 16 Dumbbells Kit 20Kg,Sports,993.05,568.8,"1029.53,899.13,1014.98,953.18,1046.35","CompA,CompD,CompC,CompE,CompB",4339,4.4,284,2026-03-08T14:31:26.348740Z
PROD-024,Cello Flip Style Plastic Water Bottle 1L BPA Free,Sports,214.28,121.44,"195.79,216.17,233.32,224.62,222.36,200.17,191.65","CompB,CompG,CompA,CompC,CompE,CompF,CompD",2448,4.1,465,2026-03-08T14:31:26.348754Z
PROD-025,Campus BATTLE Running Shoes for Men,Sports,720.94,445.8,"823.75,719.13,785.03,814.25,696.16,687.53,814.08","CompB,CompD,CompE,CompF,CompG,CompA,CompC",2457,4.1,77,2026-03-08T14:31:26.348769Z
PROD-026,Puma Evercat Duffel Gym Bag 45L,Sports,196.17,124.54,"196.65,222.95,179.78,199.11,223.87,208.02,220.39","CompE,CompG,CompB,CompC,CompF,CompA,CompD",7222,4.4,855,2026-03-08T14:31:26.348784Z
PROD-027,Strauss Adjustable Skipping Rope with Counter,Sports,164.01,106.01,"170.22,143.59,180.62,171.42,153.71","CompA,CompD,CompB,CompE,CompF",8694,4.7,47,2026-03-08T14:31:26.348797Z
PROD-028,Cockatoo Foam Roller 45cm for Muscle Recovery,Sports,861.99,520.95,"837.12,947.39,915.4,868.27","CompC,CompB,CompA,CompF",5696,3.9,583,2026-03-08T14:31:26.348808Z
PROD-029,Strauss Anti Burst Gym Ball 65cm with Pump,Sports,1407.98,836.47,"1299.84,1358.69,1428.29,1542.79,1286.34,1290.95,1251.99","CompE,CompC,CompG,CompA,CompD,CompF,CompB",9800,5.0,472,2026-03-08T14:31:26.348823Z
PROD-030,Noise ColorFit Pro 2 Fitness Tracker Watch,Sports,881.82,515.66,"790.92,961.43,815.11,753.43,906.11,884.0,936.87","CompA,CompC,CompG,CompD,CompF,CompE,CompB",9255,4.5,915,2026-03-08T14:31:26.348838Z
PROD-031,Python Crash Course 2nd Edition by Eric Matthes,Books,544.74,300.77,"576.96,544.0,574.12,477.13","CompE,CompC,CompA,CompD",8960,4.9,712,2026-03-08T14:31:26.348850Z
PROD-032,Zero to One by Peter Thiel - Business Strategy,Books,525.51,292.07,"501.19,458.91,575.57,560.81,478.85","CompC,CompG,CompF,CompD,CompA",1874,3.9,242,2026-03-08T14:31:26.348862Z
PROD-033,Atomic Habits by James Clear - Self Help,Books,602.55,387.58,"578.79,613.08,523.47","CompA,CompE,CompB",9165,4.6,859,2026-03-08T14:31:26.348872Z
PROD-034,Sanjeev Kapoor's Khazana of Indian Recipes,Books,262.96,153.01,"225.01,224.16,254.37,299.81,288.24,260.1","CompA,CompC,CompG,CompD,CompE,CompF",7980,4.3,285,2026-03-08T14:31:26.348886Z
PROD-035,The Girl in Room 105 by Chetan Bhagat - Mystery,Books,547.54,330.16,"589.51,572.3,580.91,625.98,599.76","CompE,CompA,CompG,CompC,CompB",9784,3.5,526,2026-03-08T14:31:26.348902Z
PROD-036,Project Hail Mary by Andy Weir - Sci-Fi Novel,Books,326.99,189.65,"340.11,299.71,369.77","CompD,CompG,CompB",2826,4.0,432,2026-03-08T14:31:26.348913Z
